יצרן,תאריך כניסה לזאפ,התאמה לגיימינג,מערכת הפעלה,משקל,סדרה,סוג מעבד,נפח זיכרון RAM,מהירות מעבד,דגם מעבד,דור מעבד,סוג הזכרון,כונן קשיח,מהירות כונן קשיח,כונן אופטי,גודל מסך,רזולוציית מסך,סוג מסך,קצב רענון תצוגה,מסך מגע,כרטיס מסך,אמצעי אבטחה,מצלמת רשת,חיבורים,רשת אלחוטית,מודם סלולארי,Page Number,מחיר,תוספת מחיר
Asus,2022,0,Windows 11 Home,1.17,ZenBook 14,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,מצלמת IR,כולל,"Thunderbolt , Card Reader , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,2.0,0.12973028197793215,0
Dell,2022,0,Windows 11 Home,1.63,Inspiron 5510,Intel Core i5,8.0,3100.0,11300H,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"USB-C , HDMI , Bluetooth , USB",כולל,0,2.0,0.10388230486309767,0
HP,2021,0,Windows  10,1.75,לא רלוונטי,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,IPS,60.0,0,NVIDIA GeForce MX350,לא כולל,כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,0,2.0,0.09812014711892113,0
Dell,2021,0,Windows 11 Home,1.63,Vostro 5510,Intel Core i7,16.0,3300.0,11370H,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , USB-C , HDMI , Bluetooth , USB",כולל,0,2.0,0.1441765427053535,0
Lenovo,2021,0,Windows 11 Home,1.65,IdeaPad 3,AMD Ryzen 3,8.0,2600.0,5300U,4.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Integrated AMD Radeon Graphics,מצלמת IR,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,2.0,0.05328974254188803,0
Dell,2021,0,Windows 10 PRO,1.78,Latitude 3520,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , DisplayPort , USB-C , HDMI , Bluetooth , USB",כולל,0,2.0,0.11697997548017981,0
Asus,2021,0,ללא,1.8,לא רלוונטי,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,2.0,0.04460563955864324,0
Asus,2021,0,Windows 11 Home,1.45,לא רלוונטי,AMD Ryzen 7,8.0,3200.0,5800H,4.0,4.0,512,SSD,0,14.0,0.5063005454203499,OLED,60.0,0,AMD Radeon  Graphics,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,3.0,0.1286881896199428,0
HP,2021,0,ללא,1.69,לא רלוונטי,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,0,3.0,0.0475071516142215,0
Lenovo,2021,0,ללא,1.39,ThinkPad L13,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,13.3,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",802.11ax,0,3.0,0.1328361258684103,0
Asus,2021,0,ChromeOS,0.99,לא רלוונטי,Intel Celeron,4.0,1100.0,N3350,3.0,4.0,32,eMMC,0,11.6,0.0,LCD,60.0,0,Intel HD Graphics 500,לא כולל,1 מגה פיקסל,"Card Reader , USB-C , Bluetooth , USB",802.11ac,0,3.0,0.0,0
Lenovo,2021,0,ללא,1.64,ThinkPad E14,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Integrated Intel UHD Graphics,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,0,3.0,0.09671025745811197,0
Asus,2022,0,Windows  10,1.4,ZenBook 14 Flip,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.5063005454203499,LCD,60.0,1,Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,3.0,0.17705353494074377,750
Asus,2021,0,ללא,1.6,לא רלוונטי,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,לא כולל,כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,3.0,0.05905190028606457,0
Lenovo,2021,0,Windows  10,1.39,IdeaPad 5,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Integrated Intel UHD Graphics,קורא טביעות אצבע,1 מגה פיקסל,"DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,3.0,0.05488353085410707,0
Asus,2021,0,ללא,1.6,לא רלוונטי,Intel Core i7,8.0,2800.0,1165G7,11.0,4.0,1000,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,3.0,0.08637106661217818,0
Lenovo,2022,0,Windows 10 PRO,1.4,ThinkBook 14,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",802.11ax,0,3.0,0.09807928075194115,0
Asus,2021,0,ללא,1.6,לא רלוונטי,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,3.0,0.07061708214139763,0
HP,2021,0,Windows  10,1.41,Pavilion,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Intel Iris Xe Graphics,לא כולל,כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","802.11b , 802.11a , 802.11g , 802.11n , 802.11ac",0,3.0,0.09487127094401308,0
