Brand,Zap Enter Date,Gaming Compability,Operating System,Two in One,Weight,Series,CPU type,RAM Capacity,CPU speed,CPU modal,CPU generation,Hard drive capacity,Hard drive Type,Optical Drive,Screen Size,Screen Resolution,Screen Type,FPS,Touch Screen,GPU,Web camera,Secutiry,Connectors,Wifi modal,Cellular modem,Min price,Max price,Page number,Memory type
Lenovo,2021,לא רלוונטי,Windows 10 PRO,מסך מסתובב,"1.2 ק""ג",ThinkPad X13 Yoga,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,13.3 אינטש,1920x1200,IPS,60 Hz,כולל,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,מצלמת IR,"DisplayPort , Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ax,לא כולל,"6,455","6,490",66.0,DDR4
Dell,2021,לא רלוונטי,ללא,ללא,"1.64 ק""ג",Vostro 5502,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"2,667","2,870",67.0,DDR4
HP,2021,לא רלוונטי,Windows 10 PRO,ללא,"2.34 ק""ג",ZBook Fury,Intel Core i7,32 GB,2300MHz,11800H,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,NVIDIA RTX A2000,1 מגה פיקסל,מצלמת IR,"RJ-45 , DisplayPort , Thunderbolt , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"9,469","10,999",67.0,DDR4
Asus,2021,גיימינג,ללא,ללא,"2.3 ק""ג",ROG Strix,AMD Ryzen 9,16 GB,3300Mhz,5900HX,דור 4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,,ללא,NVIDIA GeForce RTX 3070,,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"8,478","8,799",67.0,DDR4
Lenovo,2021,לא רלוונטי,Windows  10,ללא,"1.66 ק""ג",IdeaPad 5,Intel Core i5,8 GB,,1035G1,דור 10,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,NVIDIA GeForce MX330,1 מגה פיקסל,לא כולל,"DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,080","3,390",67.0,DDR4
Dell,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.44 ק""ג",Vostro 5410,Intel Core i5,8 GB,3100Mhz,11300H,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , DisplayPort , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"3,482","4,190",67.0,DDR4
Acer,2021,לא רלוונטי,Windows  10,ללא,"1.05 ק""ג",Swift 5,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,כולל,Intel Iris Xe Graphics,לא כולל,קורא טביעות אצבע,"DisplayPort , Thunderbolt , USB-C , HDMI , Bluetooth , USB","802.11a , 802.11g , 802.11n , 802.11ac , 802.11ax",לא כולל,"4,485","4,490",67.0,DDR4
HP,2020,לא רלוונטי,ללא,ללא,"1.75 ק""ג",לא רלוונטי,Intel Core i3,8 GB,1200Mhz,1005G1,דור 10,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,,"RJ-45 , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB","802.11b , 802.11a , 802.11g , 802.11n , 802.11ac",לא כולל,"2,489","2,490",67.0,DDR4
Lenovo,2021,לא רלוונטי,Windows  10,מסך מסתובב,"1.2 ק""ג",Flex 3,AMD Athlon Silver,4 GB,,3050e,,128 GB,SSD,לא כולל,11.6 אינטש,1920x1080,LCD,60 Hz,כולל,Integrated graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,789","1,789",67.0,DDR4
Lenovo,2021,לא רלוונטי,Windows  10,לא רלוונטי,"1.65 ק""ג",IdeaPad 3,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,790","2,900",67.0,DDR4
Lenovo,2021,לא רלוונטי,Windows  10,ללא,"1.65 ק""ג",IdeaPad 3,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,,LCD,60 Hz,ללא,Integrated graphics,כולל,לא כולל,"USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"2,390","2,590",67.0,DDR4
Asus,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.3 ק""ג",לא רלוונטי,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,13.3 אינטש,1920x1080,LCD,60 Hz,כולל,Intel Iris Xe Graphics,כולל,מצלמת IR,"Thunderbolt , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"6,499","7,434",67.0,DDR4
Asus,2021,לא רלוונטי,Windows  10,ללא,"1.6 ק""ג",VivoBook 15,Intel Core i5,8 GB,,1035G1,דור 10,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,NVIDIA GeForce MX330,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,699","3,399",67.0,DDR4
HP,2020,לא רלוונטי,ללא,ללא,"1.75 ק""ג",,Intel Core i5,8 GB,3600Mhz,1035G1,דור 10,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"RJ-45 , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"2,399","2,400",67.0,DDR4
HP,2020,לא רלוונטי,Windows 10 PRO,ללא,"2.42 ק""ג",ZBook,Intel Core i7,16 GB,2600Mhz,10750H,דור 10,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,NVIDIA Quadro T2000,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , DisplayPort , Thunderbolt , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,לא כולל,"8,400","8,790",67.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.5 ק""ג",ExpertBook,Intel Core i5,8 GB,1600Mhz,10210U,דור 10,256 GB,SSD,לא כולל,14 אינטש,1366x768,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"VGA , RJ-45 , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,400","2,630",67.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.5 ק""ג",לא רלוונטי,Intel Core i5,8 GB,3600Mhz,1035G1,דור 10,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,430","2,435",67.0,DDR4
Asus,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.48 ק""ג",לא רלוונטי,Intel Core i5,8 GB,1600Mhz,10210U,דור 10,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics 620,1 מגה פיקסל,לא כולל,"VGA , RJ-45 , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,740","2,960",67.0,DDR4
HP,מ 2022,לא רלוונטי,Windows 10 PRO,ללא,"1.17 ק""ג",Elite x2,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,13.3 אינטש,1920x1080,LCD,60 Hz,כולל,Intel UHD Graphics,כולל,לא כולל,"DisplayPort , Thunderbolt , אוזניות/מיקרופון , USB-C , Bluetooth , USB",כולל,לא כולל,"7,442","8,490",67.0,DDR4
Asus,מ 2022,לא רלוונטי,Windows 11 Home,ללא,"1.95 ק""ג",Vivobook Pro 16X,Intel Core i7,32 GB,3300Mhz,11370H,דור 11,1000 GB,SSD,לא כולל,16 אינטש,3840x2400,OLED,60 Hz,ללא,NVIDIA GeForce RTX 3050,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"8,350","8,690",67.0,DDR4
